Moves,Score,Time,Mean Time Per Move,Did Win,Highest Tile
"{'w': 61, 'a': 33, 's': 39, 'd': 53}",1996,1.62,0.01,False,256
"{'w': 24, 'a': 33, 's': 28, 'd': 22}",748,0.16,0.0,False,64
"{'w': 51, 'a': 28, 's': 40, 'd': 34}",1380,0.2,0.0,False,128
"{'w': 30, 'a': 32, 's': 24, 'd': 24}",760,0.14,0.0,False,64
"{'w': 52, 'a': 34, 's': 41, 'd': 30}",1348,0.21,0.0,False,128
"{'w': 20, 'a': 18, 's': 21, 'd': 28}",632,0.11,0.0,False,64
"{'w': 38, 'a': 37, 's': 36, 'd': 30}",1236,0.19,0.0,False,128
"{'w': 55, 'a': 59, 's': 37, 'd': 52}",2180,0.26,0.0,False,256
"{'w': 29, 'a': 23, 's': 28, 'd': 36}",1024,0.15,0.0,False,128
"{'w': 17, 'a': 20, 's': 18, 'd': 23}",544,0.1,0.0,False,64
"{'w': 15, 'a': 14, 's': 11, 'd': 20}",288,0.07,0.0,False,32
"{'w': 25, 'a': 24, 's': 21, 'd': 12}",560,0.11,0.0,False,64
"{'w': 26, 'a': 19, 's': 25, 'd': 20}",720,0.12,0.0,False,64
"{'w': 38, 'a': 27, 's': 26, 'd': 23}",992,0.17,0.0,False,128
"{'w': 19, 'a': 23, 's': 20, 'd': 21}",584,0.12,0.0,False,64
"{'w': 49, 'a': 33, 's': 36, 'd': 44}",1380,0.21,0.0,False,128
"{'w': 34, 'a': 26, 's': 15, 'd': 19}",580,0.12,0.0,False,64
"{'w': 21, 'a': 29, 's': 16, 'd': 26}",652,0.12,0.0,False,64
"{'w': 31, 'a': 40, 's': 41, 'd': 42}",1332,0.21,0.0,False,128
"{'w': 41, 'a': 25, 's': 21, 'd': 27}",936,0.17,0.0,False,128
"{'w': 38, 'a': 31, 's': 31, 'd': 30}",1072,0.19,0.0,False,128
"{'w': 34, 'a': 31, 's': 25, 'd': 35}",916,0.16,0.0,False,64
"{'w': 46, 'a': 28, 's': 30, 'd': 33}",1212,0.17,0.0,False,128
"{'w': 49, 'a': 50, 's': 30, 'd': 37}",1496,0.22,0.0,False,128
"{'w': 38, 'a': 40, 's': 33, 'd': 45}",1456,0.23,0.0,False,128
"{'w': 48, 'a': 39, 's': 34, 'd': 47}",1420,0.21,0.0,False,128
"{'w': 37, 'a': 37, 's': 38, 'd': 43}",1332,0.2,0.0,False,128
"{'w': 27, 'a': 24, 's': 21, 'd': 17}",604,0.12,0.0,False,64
"{'w': 33, 'a': 39, 's': 31, 'd': 30}",1196,0.17,0.0,False,128
"{'w': 44, 'a': 29, 's': 19, 'd': 29}",924,0.16,0.0,False,64
"{'w': 39, 'a': 40, 's': 31, 'd': 27}",1104,0.19,0.0,False,64
"{'w': 34, 'a': 32, 's': 38, 'd': 35}",936,0.19,0.0,False,64
"{'w': 24, 'a': 23, 's': 15, 'd': 27}",580,0.1,0.0,False,64
"{'w': 33, 'a': 29, 's': 20, 'd': 32}",952,0.14,0.0,False,128
"{'w': 31, 'a': 33, 's': 28, 'd': 36}",1112,0.16,0.0,False,128
"{'w': 25, 'a': 25, 's': 15, 'd': 28}",624,0.14,0.0,False,64
"{'w': 23, 'a': 21, 's': 19, 'd': 26}",592,0.12,0.0,False,64
"{'w': 32, 'a': 41, 's': 30, 'd': 39}",1232,0.23,0.0,False,128
"{'w': 48, 'a': 37, 's': 44, 'd': 39}",1392,0.24,0.0,False,128
"{'w': 26, 'a': 21, 's': 25, 'd': 27}",708,0.14,0.0,False,64
"{'w': 35, 'a': 17, 's': 23, 'd': 22}",752,0.13,0.0,False,64
"{'w': 17, 'a': 25, 's': 23, 'd': 14}",464,0.11,0.0,False,32
"{'w': 54, 'a': 47, 's': 44, 'd': 41}",1816,0.27,0.0,False,128
"{'w': 44, 'a': 33, 's': 26, 'd': 29}",1304,0.22,0.0,False,128
"{'w': 54, 'a': 34, 's': 40, 'd': 42}",1524,0.27,0.0,False,128
"{'w': 37, 'a': 43, 's': 34, 'd': 44}",1616,0.24,0.0,False,128
"{'w': 17, 'a': 13, 's': 12, 'd': 12}",316,0.08,0.0,False,32
"{'w': 14, 'a': 18, 's': 16, 'd': 17}",424,0.08,0.0,False,64
