Moves,Score,Time,Mean Time Per Move,Did Win,Highest Tile
"{'w': 27, 'a': 0, 's': 80, 'd': 14}",988,1.14,0.01,False,128
"{'w': 16, 'a': 0, 's': 52, 'd': 5}",400,0.18,0.0,False,32
"{'w': 31, 'a': 1, 's': 81, 'd': 12}",884,0.32,0.0,False,64
"{'w': 32, 'a': 1, 's': 68, 'd': 14}",688,0.33,0.0,False,64
"{'w': 10, 'a': 0, 's': 26, 'd': 0}",96,0.1,0.0,False,16
"{'w': 34, 'a': 0, 's': 78, 'd': 17}",828,0.33,0.0,False,64
"{'w': 26, 'a': 0, 's': 69, 'd': 7}",680,0.31,0.0,False,64
"{'w': 32, 'a': 0, 's': 72, 'd': 12}",664,0.31,0.0,False,64
"{'w': 47, 'a': 0, 's': 113, 'd': 23}",1220,0.49,0.0,False,128
"{'w': 31, 'a': 0, 's': 73, 'd': 10}",716,0.33,0.0,False,64
"{'w': 26, 'a': 0, 's': 52, 'd': 11}",484,0.24,0.0,False,32
"{'w': 19, 'a': 0, 's': 35, 'd': 3}",252,0.19,0.0,False,32
"{'w': 37, 'a': 1, 's': 105, 'd': 18}",1260,0.52,0.0,False,128
"{'w': 25, 'a': 1, 's': 88, 'd': 18}",872,0.36,0.0,False,64
"{'w': 19, 'a': 0, 's': 44, 'd': 5}",336,0.19,0.0,False,32
"{'w': 14, 'a': 0, 's': 42, 'd': 7}",288,0.23,0.0,False,32
"{'w': 45, 'a': 0, 's': 99, 'd': 20}",1304,0.51,0.0,False,128
"{'w': 64, 'a': 0, 's': 154, 'd': 27}",1920,0.77,0.0,False,128
"{'w': 24, 'a': 0, 's': 63, 'd': 6}",572,0.21,0.0,False,64
"{'w': 49, 'a': 0, 's': 114, 'd': 15}",1388,0.48,0.0,False,128
"{'w': 16, 'a': 0, 's': 60, 'd': 7}",452,0.2,0.0,False,32
"{'w': 32, 'a': 1, 's': 77, 'd': 17}",740,0.32,0.0,False,64
"{'w': 15, 'a': 0, 's': 39, 'd': 5}",296,0.14,0.0,False,32
"{'w': 22, 'a': 0, 's': 41, 'd': 4}",324,0.17,0.0,False,32
"{'w': 20, 'a': 0, 's': 58, 'd': 9}",404,0.21,0.0,False,32
"{'w': 19, 'a': 0, 's': 40, 'd': 5}",348,0.19,0.0,False,32
"{'w': 29, 'a': 0, 's': 63, 'd': 11}",504,0.28,0.0,False,32
"{'w': 38, 'a': 1, 's': 99, 'd': 17}",1320,0.36,0.0,False,128
"{'w': 38, 'a': 1, 's': 74, 'd': 11}",888,0.35,0.0,False,64
"{'w': 17, 'a': 0, 's': 34, 'd': 3}",236,0.14,0.0,False,32
"{'w': 42, 'a': 0, 's': 87, 'd': 12}",1028,0.35,0.0,False,64
"{'w': 47, 'a': 0, 's': 94, 'd': 13}",1296,0.46,0.0,False,128
"{'w': 19, 'a': 0, 's': 35, 'd': 6}",220,0.15,0.0,False,16
"{'w': 24, 'a': 0, 's': 63, 'd': 10}",624,0.32,0.0,False,64
"{'w': 10, 'a': 0, 's': 25, 'd': 1}",84,0.08,0.0,False,8
"{'w': 34, 'a': 0, 's': 90, 'd': 15}",1124,0.4,0.0,False,128
"{'w': 21, 'a': 0, 's': 49, 'd': 2}",420,0.16,0.0,False,32
"{'w': 39, 'a': 1, 's': 119, 'd': 25}",1476,0.42,0.0,False,128
"{'w': 37, 'a': 0, 's': 65, 'd': 11}",812,0.25,0.0,False,64
"{'w': 13, 'a': 0, 's': 47, 'd': 2}",292,0.12,0.0,False,32
"{'w': 22, 'a': 0, 's': 58, 'd': 8}",560,0.19,0.0,False,64
"{'w': 32, 'a': 1, 's': 83, 'd': 17}",880,0.33,0.0,False,64
"{'w': 59, 'a': 1, 's': 151, 'd': 23}",2312,0.57,0.0,False,256
"{'w': 35, 'a': 1, 's': 70, 'd': 8}",728,0.25,0.0,False,64
"{'w': 21, 'a': 0, 's': 60, 'd': 14}",488,0.32,0.0,False,32
"{'w': 31, 'a': 0, 's': 71, 'd': 11}",708,0.49,0.01,False,64
"{'w': 29, 'a': 0, 's': 99, 'd': 15}",1004,0.41,0.0,False,64
"{'w': 26, 'a': 0, 's': 52, 'd': 6}",560,0.21,0.0,False,64
"{'w': 24, 'a': 0, 's': 51, 'd': 6}",452,0.21,0.0,False,32
"{'w': 22, 'a': 0, 's': 73, 'd': 6}",672,0.25,0.0,False,64
"{'w': 20, 'a': 0, 's': 52, 'd': 5}",416,0.19,0.0,False,32
"{'w': 27, 'a': 0, 's': 67, 'd': 10}",652,0.28,0.0,False,64
"{'w': 19, 'a': 0, 's': 40, 'd': 3}",284,0.17,0.0,False,32
"{'w': 30, 'a': 0, 's': 62, 'd': 9}",648,0.27,0.0,False,64
"{'w': 29, 'a': 1, 's': 83, 'd': 15}",884,0.32,0.0,False,64
"{'w': 73, 'a': 0, 's': 154, 'd': 26}",1924,0.7,0.0,False,128
"{'w': 20, 'a': 0, 's': 32, 'd': 5}",276,0.21,0.0,False,32
"{'w': 22, 'a': 0, 's': 63, 'd': 9}",560,0.24,0.0,False,64
"{'w': 27, 'a': 1, 's': 73, 'd': 13}",736,0.28,0.0,False,64
"{'w': 12, 'a': 0, 's': 44, 'd': 6}",280,0.15,0.0,False,32
"{'w': 17, 'a': 0, 's': 41, 'd': 4}",288,0.15,0.0,False,32
"{'w': 22, 'a': 0, 's': 45, 'd': 6}",396,0.19,0.0,False,32
"{'w': 41, 'a': 0, 's': 87, 'd': 16}",824,0.32,0.0,False,64
"{'w': 26, 'a': 0, 's': 46, 'd': 3}",420,0.22,0.0,False,32
"{'w': 30, 'a': 0, 's': 63, 'd': 11}",700,0.27,0.0,False,64
"{'w': 30, 'a': 0, 's': 92, 'd': 19}",1100,0.38,0.0,False,128
"{'w': 25, 'a': 0, 's': 60, 'd': 7}",560,0.32,0.0,False,32
"{'w': 33, 'a': 2, 's': 78, 'd': 15}",1012,0.35,0.0,False,128
"{'w': 25, 'a': 0, 's': 68, 'd': 8}",620,0.26,0.0,False,64
"{'w': 16, 'a': 0, 's': 50, 'd': 5}",340,0.18,0.0,False,32
"{'w': 22, 'a': 0, 's': 48, 'd': 4}",376,0.22,0.0,False,32
"{'w': 19, 'a': 0, 's': 49, 'd': 6}",372,0.21,0.0,False,32
"{'w': 22, 'a': 0, 's': 60, 'd': 7}",572,0.23,0.0,False,64
"{'w': 23, 'a': 0, 's': 55, 'd': 11}",480,0.24,0.0,False,32
"{'w': 52, 'a': 1, 's': 120, 'd': 17}",1556,0.46,0.0,False,128
"{'w': 45, 'a': 0, 's': 99, 'd': 16}",1296,0.42,0.0,False,128
"{'w': 36, 'a': 0, 's': 95, 'd': 19}",924,0.38,0.0,False,64
"{'w': 12, 'a': 0, 's': 35, 'd': 4}",180,0.14,0.0,False,16
"{'w': 35, 'a': 1, 's': 81, 'd': 9}",796,0.32,0.0,False,64
"{'w': 16, 'a': 0, 's': 40, 'd': 7}",288,0.16,0.0,False,32
"{'w': 18, 'a': 0, 's': 33, 'd': 4}",232,0.15,0.0,False,16
"{'w': 46, 'a': 0, 's': 89, 'd': 18}",1136,0.41,0.0,False,128
"{'w': 37, 'a': 2, 's': 103, 'd': 18}",1256,0.37,0.0,False,128
"{'w': 19, 'a': 0, 's': 49, 'd': 5}",400,0.17,0.0,False,32
